Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
4889,45154,713,861,5657.3434805639135,18580.57221092185,138.58865414718298,1014.9799631587795,350.775624160653,14.873574649424516,357.49951680573685,634.4113542883915,676.8395275175147,297.21442694542395,800308.7238686978,354603.10045568243,778503.2048398118,652469.5416865374,716751.9880864423,246123.71804019084,114868.63278820192,719357.0931838478,152046.51212034526,753341.9393057054,814562.7924557958,103787.97095562087,72875.63846941503,820022.9383259079,315781.9704800202,945149.1049385389,0,1,1,1,1238,278,549496.3924900331,153414.95046925856,776.5245495164013,975.7662091234441,18.89539340013602,456.7742019710622,335.88024507370335,1,1,0,1,1,1,0,0,8.250035113208085,1387.0494168168461,394.28697118427107,329.8868058128763,1075,888465.3298554494,536111.7016690553,566927.6275466518,105302.03694690976,45231.14217606206,383686.9775364934,348,944493.0829830416,251,138934.86413325983,55144.459203110404,5713.051165849502,14,514,348797.24221283395,633488.4792617604,539364.3007054625,673961.4069226708,381510.251253679,780919.1137569482,903941.4483411589,504403.1407697857,BENIGN
63667,43936,584,838,42262.506246828205,21123.581461114674,680.910140468756,801.9921564052732,1244.662560268976,364.7739228282599,1311.56636508551,793.5077984851042,127.24550615536972,496.0034216596962,445392.7470149529,717950.0931810327,352692.34202538314,450171.2047405042,860536.893118716,830795.6102494479,521158.73161868507,566129.983614095,431694.95446652075,817020.354200019,963146.0319667037,400727.4438465707,630202.3774504178,347140.68742037227,18375.03177511146,656601.2694358891,0,0,1,0,1394,155,558412.8160700015,615024.9179923576,521.0166956542694,1343.879316037384,808.7921512701724,465.03728158973684,392.7861640861335,0,1,1,1,0,1,1,0,8.89648426536529,636.732595587435,919.9025125019496,1219.849041515827,1301,13651.992182043716,86019.21837953175,949181.362499464,893465.6101156657,692774.2026738975,21665.187716417124,602,585624.8018720307,76,959740.5070860211,45839.48411776847,51068.58669691079,868,731,63179.862025591225,976946.4527519398,440293.24748945166,144542.48282464754,784847.5583250764,678720.1760121218,616571.9717297223,2325.158412723738,MALICIOUS
13361,63570,862,812,51173.45291213184,54321.003423037975,628.2271793622825,1250.983302228473,1063.0073828219568,298.76487430149325,1325.207561355016,1256.8676772022084,14.324850804549927,321.83518623512646,809705.3786211836,781519.0493448311,654357.3846857223,473046.2366967353,242872.23622109712,267056.058415807,304276.86623872584,534172.7392245033,537862.1730833907,931027.4277111922,345601.56187901745,413699.24840868375,592049.5269864844,272927.0153760065,61465.74756144685,514916.556887975,1,0,1,0,363,77,100113.34360366019,858021.059979316,446.64061495778174,615.1546765679803,704.5512107046078,361.1146579971552,257.79360112683486,1,0,1,1,0,1,1,0,1.2098973653123535,345.5226879579914,875.1923184111955,116.79297993524746,588,433111.58175134246,928224.1624325615,468225.9348590152,551491.2306253456,380700.62008724915,438769.33543256816,260,499755.6981930779,129,974571.6866847657,54065.27262498007,28925.511184718544,945,766,105849.74043237117,781968.6346710726,466569.1726452134,359325.3129839017,434667.7855951802,232999.9134178311,846480.5729618914,277393.0715217635,BENIGN
24702,1514,282,889,56163.70709685987,23029.781119461597,1390.9791300980635,658.7787707194977,1346.0927938193186,316.4981847054638,1177.1737741073625,1336.1212427835048,1284.5243658012398,181.54662901104217,188872.6128705972,459708.99708350474,795366.6366790973,590870.6665086792,501792.49769356695,932454.0644430119,881138.4853548169,760961.4309898808,973386.373880972,815878.6914566774,74913.42394553036,980385.6103610942,814219.2411953873,76048.2513728269,563017.1011820019,511567.864197805,0,0,0,1,412,704,991570.2860769244,182678.74993097334,668.1241874355109,908.5525596748753,1367.9846409982013,344.56757203772423,164.46582308874636,1,1,1,0,0,0,1,0,9.997184990909831,400.439008863765,1090.7063045159362,419.7990154233457,233,618470.1972099192,4465.073949739828,875578.9302363732,676959.6357399628,909632.9655728409,836694.08126314,846,831548.3190491106,521,705440.6257039065,3122.6491683375643,48189.980312614214,976,41,387377.7158938719,201018.60585152253,379244.5277531419,628332.5473419047,418761.1762709481,708684.8261203343,514686.5056858907,663874.6527240144,BENIGN
43647,96877,93,513,26258.39517405679,36079.97308412959,372.57479116839806,491.6513254778618,1451.9187264167194,101.5188000869775,979.4643143782292,604.4388559139143,554.8787555588087,442.7098708253349,3298.950844609294,799273.1925610357,653050.9420040427,416005.3928942118,26054.773753937832,594518.7370200133,537912.8086687729,118922.06338283773,544111.277264516,62571.226210441644,883586.708235449,396562.4442014761,120777.87765983972,944429.5397698657,738022.6966398514,315877.1345788457,0,0,0,1,1216,117,887265.5034363756,416868.7287554069,1046.59166866183,136.83799934043466,508.7179637294975,466.79432114575786,229.22304980561125,1,0,0,0,1,1,0,1,9.495708114975482,379.51177356696587,800.3246593042309,720.0262385638517,1287,923420.5609801906,858281.5846837714,213310.46890545625,818480.7539337549,191708.78676609948,516444.50475728133,718,263721.14385374455,221,88378.5509052335,53359.5120848267,39756.66830614116,133,60,913281.2401512323,465801.4230627171,117770.1320605824,773038.387473555,777682.3704487626,273543.06026412925,768416.8577334528,842613.2305671644,MALICIOUS
34330,83121,164,645,33408.37140079292,20363.590064249605,1176.6706381691797,822.8712142048093,746.144010640571,0.1599931614329475,940.0397071536412,559.2006934135343,394.2464615007839,489.28749522698354,433290.2830331212,804514.9703534628,11272.754985055422,934316.7624427588,341732.77309255465,700969.2177801867,959498.1206184074,233759.73488436974,166020.1656167638,870630.1392026612,822432.6765586495,829035.868959674,274830.4259151001,425954.23705636815,924555.122071141,751129.5456596899,0,0,1,1,814,291,158844.51708787173,180401.82898844703,414.46176938788125,985.0699278465108,991.2845777774767,310.58369622689156,231.19660138277143,1,0,1,1,0,0,1,0,8.049685740330265,671.8533341732854,748.414456748399,633.0413087228261,890,489764.44559037325,784590.9920295001,310363.7534649156,923004.2955880656,127648.25628512356,284263.558388932,27,350974.0439734975,594,643370.2375025854,40305.75254984883,19177.20616711298,73,89,61937.445694704606,228703.82056838047,994261.8252302238,97798.26907486688,625819.1729191781,464090.17137304007,104815.68635071049,5280.746652540968,MALICIOUS
32975,72159,309,534,60369.171870317135,29921.4220566671,546.6230975068956,186.0574266240847,538.8586522043747,490.9172040932994,1222.6193498848002,576.7078854170039,497.9616841883505,345.9201828848926,949155.2414356145,558597.1014216313,163916.27195245682,888920.7933473558,206958.9527352368,76627.5422429391,824355.3794585024,694158.7173307578,533663.9623362733,620902.4430530558,402790.50466029777,517767.8563928789,475987.08468525374,411243.6166148864,197152.17736720192,60731.13183492052,1,0,0,1,279,77,280817.9662963129,477556.05111586384,1047.5544516014515,716.7441540560325,332.32228887867524,315.5710155717016,394.5103570908098,1,1,0,1,1,1,0,1,6.8346129435189775,1203.471429637771,624.0022473108183,701.7373725744071,1445,307359.95624895475,633525.2487660983,509772.31897287146,726234.9193859949,298886.1131534419,473018.29284300347,553,130045.37114345493,403,450333.68610490975,57547.08948426199,64795.619234469246,334,168,843341.1838389782,958655.219415649,385822.0194689006,123778.63821152435,256532.84132019017,533303.772026241,446346.4848909434,69538.98989525842,BENIGN
20571,73242,979,455,53022.98580686977,32494.41704491549,608.6028531814713,192.033409736317,185.09469622334424,224.85777188707567,958.8591458158396,1157.912555694205,240.54002599916058,137.010309444264,395581.00578640884,264152.14161716116,156383.27570281542,938353.1889249624,387147.2409975789,32869.996749347876,274824.780582978,941054.441218858,136792.04463539363,763846.1731691142,262811.17628198856,632894.734438189,313810.6100055955,520889.9397623933,391453.33705083263,782486.6549795348,0,0,0,1,122,1173,757774.0952130075,685198.1803519097,873.7744975861393,99.26017662310393,1108.655080923283,481.77046938676256,187.3581443569298,1,1,1,1,1,1,0,0,0.11746693005432296,549.0744787776625,1460.792341548821,1029.430555788234,878,946043.454063308,816213.904251529,18273.882143972965,394726.11576186167,545673.9256179571,623924.5574729419,967,72910.49398611949,168,428687.0543060519,31176.456879638674,16180.1934031981,301,1343,164238.48164227174,905077.4033936823,501300.99562288343,380916.9553461227,27273.532014497447,534165.4316561321,42681.31635502093,92886.64494452436,BENIGN
49353,40856,722,245,30708.153328925066,56175.76270303005,1469.182629664382,309.02002819174254,328.3589561904569,2.599466439810294,885.662726889489,1121.5706210613348,1147.40251381361,215.7795570576736,4931.723753040406,312260.5542277642,721736.7001173693,188646.4856739235,531563.5155344366,26659.652308258173,303719.34906511544,350128.58287143987,233682.05399386544,129327.02826097619,246702.16143987956,762563.1751526339,703050.3655321712,568210.2046134003,384264.3036799449,708684.7302051228,1,1,1,1,802,205,568070.3928224861,388747.78658996336,1184.4197934304818,766.3281177553972,664.9269984202049,72.51072699550909,283.15207380792145,0,1,1,0,0,1,0,1,8.552218099580166,659.8071136561206,47.90967555550668,1316.1697359608238,185,677621.3116554779,390815.74980533676,218784.84638975127,621033.7465071148,429011.6431810181,50512.382627051375,954,180825.1972550917,733,792898.1390967125,32462.054589010782,52078.42204503054,486,726,156801.33739204172,683563.3543975652,162181.6661001647,668596.358972505,444963.0675021108,823337.5070572933,653415.7809354474,321899.16456016176,MALICIOUS
33326,87840,168,708,32732.702172945486,17231.149842705476,494.25935632014483,202.72422366765974,3.9691862538986933,126.30177342886168,338.7901422457896,270.9248458082701,115.1304082279821,105.7367854334737,430890.2680599742,581388.7688939567,852661.8005822134,656191.9026892418,112190.54211541468,202506.6383844657,248893.17996422155,471743.72763485374,702384.7125284468,479611.5861787398,239253.5938272149,844754.2108616806,701639.0036814469,71074.4877948768,200859.15346897487,357659.73445171426,0,1,0,0,1251,1448,33930.90128055709,824661.9688865023,269.0554452345358,1398.840291462989,554.8038073277877,174.99075889183484,328.56562062140966,1,0,0,0,0,0,0,1,3.4640771170517173,653.8457491292364,559.7905610290743,464.3530041811175,636,144725.29368637054,999716.8434695763,549074.0705477508,960295.0528593684,930409.2372331972,387778.8494526202,395,346097.92191009637,191,623210.2892530641,50250.54926100075,8496.918869643176,622,315,577853.8112474007,872983.4222194384,719922.8987842271,818623.432507374,550364.6991662572,738258.1415455366,631465.2624154118,910898.6058736201,BENIGN
